Target;Target_Namespace;Target_Type;Target_Method;Job_Id;Job_AnalyzeLaunchVariance;Job_EvaluateOverhead;Job_MaxAbsoluteError;Job_MaxRelativeError;Job_MinInvokeCount;Job_MinIterationTime;Job_OutlierMode;Job_Affinity;Job_EnvironmentVariables;Job_Jit;Job_Platform;Job_PowerPlanMode;Job_Runtime;Job_AllowVeryLargeObjects;Job_Concurrent;Job_CpuGroups;Job_Force;Job_HeapAffinitizeMask;Job_HeapCount;Job_NoAffinitize;Job_RetainVm;Job_Server;Job_Arguments;Job_BuildConfiguration;Job_Clock;Job_EngineFactory;Job_NuGetReferences;Job_Toolchain;Job_IsMutator;Job_InvocationCount;Job_IterationCount;Job_IterationTime;Job_LaunchCount;Job_MaxIterationCount;Job_MaxWarmupIterationCount;Job_MemoryRandomization;Job_MinIterationCount;Job_MinWarmupIterationCount;Job_RunStrategy;Job_UnrollFactor;Job_WarmupCount;Job_Display;Params;Measurement_LaunchIndex;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Nanoseconds;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
BenchmarkTest.ParallelTest;ShellSort;BenchmarkTest;ParallelTest;Job-ATNWLT;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-ATNWLT(RunStrategy=Throughput);N=1000000&type=Desc;1;Overhead;Jitting;1;270300;1;270300;44;43;43;19017326
BenchmarkTest.ParallelTest;ShellSort;BenchmarkTest;ParallelTest;Job-ATNWLT;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-ATNWLT(RunStrategy=Throughput);N=1000000&type=Desc;1;Workload;Jitting;1;31916200;1;31916200;44;43;43;19017326
BenchmarkTest.ParallelTest;ShellSort;BenchmarkTest;ParallelTest;Job-ATNWLT;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-ATNWLT(RunStrategy=Throughput);N=1000000&type=Desc;1;Overhead;Jitting;2;224300;16;14018.75;44;43;43;19017326
BenchmarkTest.ParallelTest;ShellSort;BenchmarkTest;ParallelTest;Job-ATNWLT;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-ATNWLT(RunStrategy=Throughput);N=1000000&type=Desc;1;Workload;Jitting;2;288045600;16;18002850;44;43;43;19017326
BenchmarkTest.ParallelTest;ShellSort;BenchmarkTest;ParallelTest;Job-ATNWLT;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-ATNWLT(RunStrategy=Throughput);N=1000000&type=Desc;1;Workload;Pilot;1;296075700;16;18504731.25;44;43;43;19017326
BenchmarkTest.ParallelTest;ShellSort;BenchmarkTest;ParallelTest;Job-ATNWLT;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-ATNWLT(RunStrategy=Throughput);N=1000000&type=Desc;1;Workload;Pilot;2;582323600;32;18197612.5;44;43;43;19017326
BenchmarkTest.ParallelTest;ShellSort;BenchmarkTest;ParallelTest;Job-ATNWLT;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-ATNWLT(RunStrategy=Throughput);N=1000000&type=Desc;1;Overhead;Warmup;1;1500;32;46.88;44;43;43;19017326
BenchmarkTest.ParallelTest;ShellSort;BenchmarkTest;ParallelTest;Job-ATNWLT;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-ATNWLT(RunStrategy=Throughput);N=1000000&type=Desc;1;Overhead;Warmup;2;500;32;15.63;44;43;43;19017326
BenchmarkTest.ParallelTest;ShellSort;BenchmarkTest;ParallelTest;Job-ATNWLT;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-ATNWLT(RunStrategy=Throughput);N=1000000&type=Desc;1;Overhead;Warmup;3;400;32;12.5;44;43;43;19017326
BenchmarkTest.ParallelTest;ShellSort;BenchmarkTest;ParallelTest;Job-ATNWLT;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-ATNWLT(RunStrategy=Throughput);N=1000000&type=Desc;1;Overhead;Warmup;4;400;32;12.5;44;43;43;19017326
BenchmarkTest.ParallelTest;ShellSort;BenchmarkTest;ParallelTest;Job-ATNWLT;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-ATNWLT(RunStrategy=Throughput);N=1000000&type=Desc;1;Overhead;Warmup;5;400;32;12.5;44;43;43;19017326
BenchmarkTest.ParallelTest;ShellSort;BenchmarkTest;ParallelTest;Job-ATNWLT;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-ATNWLT(RunStrategy=Throughput);N=1000000&type=Desc;1;Overhead;Warmup;6;500;32;15.63;44;43;43;19017326
